N°,NOMBRE,PRECIO,PEDIDO,STOCK_ACTUAL
1,Vino Señorio Najar,20,0,4
2,vino hacienda abuelo rose,20,0,6
3,Vino Hacienda Abuelo borgoña,20,3,3
4,Vino Queirolo rose,19,2,4
5,Vino Queirolo borgoña,19,0,7
6,Vino Queirolo moscatto,19,3,0
7,Vino Tabernero borgoña,20,0,9
8,Vino Tabernero rose,20,0,6
9,Vino Tabernero blanco,20,0,4
10,Vino Mistela,12,0,5
11,Vino Higo,12,0,5
12,Vino Cuneo 750 ml,12,0,6
13,Vino Cuneo 1.5 L,24,0,4
14,JOHNNIE WALKER RED LABEL,54,0,4
15,JOHNNIE WALKER BLACK LABEL,120,0,3
16,JOHNNIE WALKER DOBLE BLACK,145,0,3
17,JOHNNIE WALKER DORADO,240,0,2
18,JOHNNIE WALKER GREEN,290,0,1
19,JOHNNIE WALKER BLUE LABEL,860,0,1
20,CHIVAS 12 AÑOS,95,0,4
21,CHIVAS 13 AÑOS,115,0,2
22,OLD PARR,105,0,3
23,BALLANTINES,50,0,3
24,SOMETHING SPECIAL PACK,52,0,0
25,JACK DANIELS NEGRO,89,0,3
26,JACK DANIELS DORADO HONEY,89,0,3
27,JACK DANIELS ROJO,89,0,3
28,JACK DANIELS VERDE,92,0,3
29,SOMETHING SPECIAL,51,0,3
30,OLD TIMES NEGRO 1L,31,0,5
31,OLD TIMES ROJO 1L,29,0,4
32,OLD TIMES ROJO 750 ML,25,0,8
33,OLD TIMES NEGRO 750 ml,28,0,6
34,CARTAVIO BLACK 1L,33,0,5
35,CARTAVIO BLACK 750 ML,27,0,6
36,CARTAVIO PETACA 125ML,6.5,0,4
37,CARTAVIO CHATA 250 ML,12,1,5
38,CARTAVIO SUPERIOR 750 ML,27,0,4
39,CARTAVIO BLANCO 750ML,27,0,3
40,CARTAVIO SELECTO 750ML,32,0,7
41,CARTAVIO SELECTO 1 LITRO,38,0,3
42,CARTAVIO RESERVA 750ML,40,2,2
43,CARTAVIO SOLERA 750ML,80,0,2
44,CARTAVIO XO,205,0,1
45,FLOR DE CAÑA 4 AÑOS 1L,45,0,5
46,FLOR DE CAÑA 5 AÑOS 1L,50,0,6
47,FLOR DE CAÑA 4 AÑOS 750 ML,40,0,4
48,FLOR DE CAÑA 5 AÑOS 750 ML,45,0,0
49,FLOR DE CAÑA 7 AÑOS 750 ML,58,0,4
50,FLOR DE CAÑA 12 AÑOS,92,0,2
51,BARCELO 1L,55,0,6
52,BARCELO LAPIDA 1.75L,75,0,5
53,MEDELLIN 750 ML,35,0,5
54,TEQUILA JOSE CUERVO DORADO,62,0,3
55,TEQUILA JOSE CUERVO BLANCO,62,0,2
56,TEQUILA OLMECA DORADO,62,0,2
57,TEQUILA OLMECA BLANCO,62,0,3
58,TEQUILA 1800 DORADO,96,0,3
59,TEQUILA 1800 BLANCO,96,0,2
60,PISCO TABERNERO ACHOLADO,36,0,3
61,PISCO TABERNERO QUEBRANTA,36,0,4
62,PISCO TABERNERO ITALIA,36,0,2
63,PISCO CUATRO GALLOS ACHOLADO,46,0,3
64,PISCO CUATRO GALLOS ITALIA,46,0,3
65,PISCO CUATRO GALLOS QUEBRANTA,46,0,2
66,PISCO MAJES TRADICION ACHOLADO,36,0,3
67,PISCO MAJES TRADICION ITALIA,36,0,3
68,PISCO MAJES TRADICION QUEBRANTA,36,0,3
69,PISCO QUEIROLO ACHOLADO,34.5,0,2
70,PISCO QUEIROLO ITALIA,34.5,0,2
71,PISCO JIMENEZ,23,0,3
72,ANIS NAJAR 750 ML,38,0,2
73,SMIRNOFF LATA,8.5,0,0
74,SMIRNOFF NEUTRO,35,0,7
75,SMIRNOFF MANZANA,38,0,7
76,SMIRNOFF SANDIA,38,0,5
